epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0959,1.10218,3.63996,1.12565,0.00229,0.5,0.01341,0.00747,0.69532,3.68931,1.01509,6.668e-05,6.668e-05,6.668e-05
2,16.5205,1.0511,3.40473,1.10341,0.00191,0.5,0.44693,0.41419,0.76172,3.3366,0.89078,0.000149287,0.000149287,0.000149287
3,23.1764,1.03011,2.31669,1.03741,0.00181,0.5,0.4975,0.44689,0.78067,3.23886,0.89183,0.00023107,0.00023107,0.00023107
4,29.563,1.00317,1.40194,1.00238,0.00195,0.5,0.49562,0.41253,0.87742,3.22459,0.91608,0.000312027,0.000312027,0.000312027
5,36.4844,0.97579,1.16535,0.97495,0.00182,0.5,0.48243,0.39553,0.86972,3.18621,0.91582,0.000392158,0.000392158,0.000392158
6,42.536,0.97464,1.04901,0.97259,0.00177,0.5,0.4975,0.44815,0.83616,3.1212,0.89404,0.000471465,0.000471465,0.000471465
7,49.1768,0.96995,1.0191,0.96884,0.00171,0.5,0.4975,0.43808,0.87515,3.09837,0.90482,0.000549947,0.000549947,0.000549947
8,55.759,0.92487,0.9828,0.9662,0.00169,0.5,0.4975,0.45148,0.84049,3.0149,0.90003,0.000627603,0.000627603,0.000627603
9,62.6382,0.92968,0.93088,0.96347,0.00371,0.50781,0.49857,0.44498,0.93533,3.02634,0.92724,0.000704434,0.000704434,0.000704434
10,68.9107,0.98587,0.94322,0.96659,0.00793,0.65625,0.5265,0.40171,0.96009,2.96552,0.94696,0.00078044,0.00078044,0.00078044
11,75.571,0.93266,0.88872,0.95294,0.06387,0.67188,0.61608,0.53253,1.00359,2.87671,0.95864,0.000855621,0.000855621,0.000855621
12,82.465,0.97373,0.88113,0.97908,0.98847,0.5,0.83625,0.70178,0.97925,2.64954,0.94668,0.000929977,0.000929977,0.000929977
