epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1169,1.3042,2.68176,4.03884,1.24127,0.00044,0.02703,0.00027,0.00025,0.00044,0.02703,0.00027,0.00018,1.14057,2.27756,4.18014,1.23999,8e-05,8e-05,8e-05
2,34.7555,1.33302,2.67031,4.0124,1.2196,0.00111,0.06757,0.0006,0.00046,0.00133,0.08108,0.00073,0.00046,1.00576,1.92349,3.89154,1.01978,0.000178218,0.000178218,0.000178218
3,51.7518,1.04115,1.59753,3.07938,0.93031,0.00933,0.56757,0.43233,0.33371,0.00933,0.56757,0.4373,0.34314,1.08622,2.71907,3.85384,0.98933,0.000274456,0.000274456,0.000274456
4,68.2145,1.07113,1.57097,2.02526,0.93219,0.00911,0.55405,0.3466,0.23724,0.00933,0.56757,0.39107,0.28843,0.99693,1.96173,3.71879,0.93342,0.000368714,0.000368714,0.000368714
5,83.1428,1.01849,1.39841,1.6041,0.91031,0.01022,0.62162,0.03001,0.02317,0.01022,0.62162,0.03002,0.02061,0.93508,1.40244,3.71895,0.95912,0.000460992,0.000460992,0.000460992
6,98.4869,0.96655,1.30733,1.40995,0.91823,0.01111,0.67568,0.0126,0.00787,0.01133,0.68919,0.01282,0.00756,1.01491,1.46365,3.78494,0.99673,0.00055129,0.00055129,0.00055129
7,114.294,0.94935,1.30929,1.28344,0.91091,0.00556,0.33784,0.00486,0.00231,0.00644,0.39189,0.00557,0.0028,1.03864,1.40071,3.73843,0.95648,0.000639608,0.000639608,0.000639608
8,131.128,0.92142,1.45977,1.40357,0.91648,0.00711,0.43243,0.00788,0.0036,0.00844,0.51351,0.01187,0.00507,1.05387,1.68083,3.75685,1.02207,0.000725946,0.000725946,0.000725946
9,148.188,0.90925,1.24734,1.19284,0.90371,0.00533,0.32432,0.0118,0.00669,0.00622,0.37838,0.01298,0.00879,1.09479,1.80289,3.59253,0.92996,0.000810304,0.000810304,0.000810304
10,164.594,0.94721,1.40054,1.19237,0.91884,0.00578,0.35135,0.01319,0.00484,0.00578,0.35135,0.01363,0.00659,1.00967,1.39854,3.54533,0.93257,0.000892682,0.000892682,0.000892682
11,181.045,0.85451,1.20165,1.05327,0.90056,0.00889,0.54054,0.03858,0.02665,0.00933,0.56757,0.04107,0.02807,1.03913,1.35691,3.40655,0.92435,0.00097308,0.00097308,0.00097308
12,198.169,0.89147,1.2956,1.11368,0.91171,0.01455,0.02703,0.03237,0.0229,0.01455,0.02703,0.03338,0.02405,0.9588,1.56422,3.43077,0.9221,0.0010515,0.0010515,0.0010515
13,214.541,0.85603,1.25261,1.05011,0.9037,0.1349,0.05405,0.10698,0.08096,0.1349,0.05405,0.1075,0.08597,1.0033,1.71617,3.36668,0.92618,0.00112794,0.00112794,0.00112794
14,231.66,0.8294,1.25833,0.99851,0.88213,1,0.03358,0.32019,0.25815,1,0.03358,0.32122,0.24358,1.05418,1.76259,3.24208,0.94465,0.00120239,0.00120239,0.00120239
15,247.805,0.92588,1.2997,1.05002,0.91231,0.54581,0.03322,0.35075,0.28302,0.54581,0.03322,0.35131,0.28764,0.97261,1.52771,3.20479,0.93239,0.00127487,0.00127487,0.00127487
16,264.792,0.91168,1.22642,0.95481,0.90676,1,0.25989,0.6654,0.48143,1,0.25989,0.63351,0.4692,1.107,1.97342,3.05868,0.96324,0.00134537,0.00134537,0.00134537
17,281.801,0.91594,1.33717,1.0059,0.90746,1,0.24991,0.73567,0.50938,1,0.24991,0.73291,0.52084,1.20036,2.24488,2.89447,1.01929,0.00141389,0.00141389,0.00141389
